MJ文字図形名,読み
MJ000353,シュツ
MJ000353,シュチ
MJ000354,キュウ
MJ000354,ク
MJ000354,キョク
MJ000354,コク
MJ000354,キク
MJ000355,ニ
MJ000355,ジ
MJ000356,デツ
MJ000356,ネチ
MJ000357,イ
MJ000358,カイ
MJ000358,ケ
MJ000359,テイ
MJ000360,コウ
MJ000361,トン
MJ000361,チン
MJ000362,ガツ
MJ000362,ガチ
MJ000363,ガツ
MJ000364,ギン
MJ000365,シン
MJ000366,シュウ
MJ000366,ジュ
MJ000367,ダ
MJ000367,ナ
MJ000368,ヤ
MJ000368,エ
MJ000369,シ
MJ000369,ジ
MJ000369,イ
MJ000370,トウ
MJ000371,カン
MJ000371,ゴン
MJ000372,キン
MJ000372,ゴン
MJ000373,トウ
MJ000373,ツ
MJ000374,コン
MJ000374,ブン
MJ000375,ロク
MJ000376,シュ
MJ000376,ユ
MJ000376,ソウ
MJ000377,イク
MJ000377,ケキ
MJ000377,キョク
MJ000377,カク
MJ000377,キャク
MJ000378,リョウ
MJ000379,ブン
MJ000379,モン
MJ000380,エツ
MJ000381,エツ
MJ000382,シ
MJ000382,テイ
MJ000382,ダイ
MJ000383,キャク
MJ000384,ホン
MJ000384,ボン
MJ000384,フン
MJ000385,シュン
MJ000386,ジュウ
MJ000386,ニュ
MJ000387,ボウ
MJ000388,ガク
MJ000388,おどろく
MJ000389,シャ
MJ000389,ジャ
MJ000389,ヤ
MJ000390,ユウ
MJ000391,ガク
MJ000392,セイ
MJ000392,ショウ
MJ000393,ブン
MJ000394,マン
MJ000395,コ
MJ000395,ゴ
MJ000396,カク
MJ000396,キャク
MJ000397,カ
MJ000397,ゲ
MJ000398,リャク
MJ000398,ガク
MJ000399,シュウ
MJ000399,キュウ
MJ000399,コウ
MJ000399,ホウ
MJ000399,ライ
MJ000400,コウ
MJ000400,のど
MJ000401,チツ
MJ000401,チチ
MJ000402,タイ
MJ000403,コウ
MJ000403,あう
MJ000404,ツイ
MJ000404,タイ
MJ000404,テ
MJ000405,ケン
MJ000406,ケン
MJ000407,コウ
MJ000407,ク
MJ000408,タン
MJ000408,くう
MJ000409,タン
MJ000409,ダン
MJ000409,くう
MJ000409,くらわす
MJ000410,ハイ
MJ000410,ヘ
MJ000411,ハク
MJ000412,シュ
MJ000412,ドウ
MJ000412,ノウ
MJ000413,リツ
MJ000413,リチ
MJ000414,ショウ
MJ000415,キュウ
MJ000417,コウ
MJ000417,グ
MJ000417,トウ
MJ000417,ズ
MJ000417,ク
MJ000418,テイ
MJ000419,シュク
MJ000420,カク
MJ000421,ロウ
MJ000422,チツ
MJ000422,テツ
MJ000422,テチ
MJ000423,カイ
MJ000423,ケ
MJ000423,アイ
MJ000423,ア
MJ000423,キツ
MJ000423,コチ
MJ000424,シュウ
MJ000425,ヒ
MJ000426,セツ
MJ000426,セチ
MJ000426,セイ
MJ000426,サイ
MJ000426,サツ
MJ000427,タ
MJ000428,シツ
MJ000429,シュウ
MJ000430,カク
MJ000430,ギャク
MJ000431,トウ
MJ000432,ガン
MJ000432,ゲン
MJ000433,ガン
MJ000433,ゲン
MJ000434,クツ
MJ000434,クチ
MJ000435,ハツ
MJ000436,カ
MJ000437,カ
MJ000438,ギョウ
MJ000438,ゴウ
MJ000439,キョウ
MJ000439,コウ
MJ000440,カ
MJ000441,カ
MJ000441,ケ
MJ000442,サク
MJ000443,エキ
MJ000443,ヤク
MJ000444,シ
MJ000444,ジ
MJ000445,カン
MJ000446,タイ
MJ000446,ダイ
MJ000447,エイ
MJ000447,ヨウ
MJ000448,ギョク
MJ000448,ゴキ
MJ000448,ギ
MJ000449,シツ
MJ000449,シチ
MJ000450,ユウ
MJ000450,キュウ
MJ000450,コウ
