MJ文字図形名,部首1,内画数1
MJ文字図形名,部首2,内画数2
MJ文字図形名,部首3,内画数3
MJ文字図形名,部首4,内画数4
MJ000872,46,8
MJ000873,46,8
MJ000874,46,9
MJ000875,46,8
MJ000876,46,8
MJ000877,46,8
MJ000878,46,9
MJ000879,46,9
MJ000880,46,9
MJ000881,46,9
MJ000882,46,9
MJ000883,46,9
MJ000884,46,9
MJ000885,46,9
MJ000886,46,9
MJ000887,46,10
MJ000888,46,10
MJ000890,46,10
MJ000891,46,10
MJ000892,46,10
MJ000893,46,10
MJ000894,46,10
MJ000895,46,10
MJ000896,46,11
MJ000897,46,11
MJ000898,46,11
MJ000899,46,11
MJ000900,46,11
MJ000901,46,11
MJ000902,46,11
MJ000903,46,11
MJ000904,46,11
MJ000905,46,11
MJ000906,46,12
MJ000907,46,12
MJ000908,46,12
MJ000909,46,12
MJ000910,46,12
MJ000911,46,12
MJ000912,46,12
MJ000913,46,12
MJ000914,46,12
MJ000915,46,12
MJ000916,46,12
MJ000917,46,11
MJ000918,46,12
MJ000919,46,13
MJ000920,46,13
MJ000921,46,14
MJ000922,46,13
MJ000923,46,13
MJ000924,46,13
MJ000925,46,13
MJ000926,46,13
MJ000927,46,12
MJ000928,46,14
MJ000929,46,14
MJ000930,46,14
MJ000931,46,14
MJ000932,46,15
MJ000933,46,16
MJ000934,46,16
MJ000935,46,16
MJ000936,46,18
MJ000937,46,18
MJ000938,46,19
MJ000939,46,26
MJ000940,47,3
MJ000941,48,1
MJ000942,48,9
MJ000943,48,12
MJ000944,49,2
MJ000945,49,2
MJ000946,9,5
MJ000946,49,2
MJ000947,49,8
MJ000948,50,2
MJ000949,50,3
MJ000950,50,3
MJ000951,50,3
MJ000952,50,4
MJ000953,50,4
MJ000954,50,4
MJ000955,50,4
MJ000956,50,4
MJ000957,50,4
MJ000958,50,5
MJ000959,50,5
MJ000960,50,5
MJ000961,50,5
MJ000962,50,6
MJ000963,50,6
MJ000964,50,6
MJ000965,50,6
MJ000966,50,6
MJ000967,50,6
MJ000968,50,7
MJ000969,50,7
MJ000970,50,8
MJ000971,50,8
MJ000972,50,8
MJ000973,50,8
MJ000974,50,8
MJ000975,50,9
MJ000976,50,9
MJ000977,50,9
MJ000978,50,9
MJ000979,50,9
MJ000980,50,9
MJ000981,50,9
MJ000983,50,9
MJ000984,50,10
MJ000985,50,10
MJ000986,50,10
MJ000987,50,10
MJ000988,50,10
MJ000989,50,10
MJ000990,50,11
MJ000991,50,11
MJ000992,50,11
MJ000993,50,11
MJ000994,50,12
MJ000995,50,12
MJ000996,50,13
MJ000997,50,13
MJ000998,50,13
MJ000999,50,14
MJ001000,50,14
MJ001001,50,17
MJ001002,50,17
MJ001003,50,19
MJ001004,50,18
MJ001005,52,9
MJ001006,52,9
